
GrupoA

/home/user/GrupoA /home/user
There are 83 tests
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe81 30 "Erro semantico (Linha 4): Tipos incompatíveis entre os blocos if e else. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe82 30 "Erro semantico (Linha 5): Tipos incompatíveis entre os blocos if e else. "
/home/user

GrupoB

/home/user/GrupoB /home/user
There are 83 tests
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe00 10 "ERRO linha 4! Identificador a não declarado "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe01 10 "ERRO linha 3! Identificador a não declarado "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe02 10 "ERRO linha 4! Identificador a não declarado "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe03 10 "ERRO linha 4! Variável a não declarada "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe04 0 "digraph grafo { "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe05 0 "digraph grafo { "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe06 0 "digraph grafo { "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe07 0 "digraph grafo { "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe08 0 "digraph grafo { "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe09 0 "digraph grafo { "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe10 10 "ERRO linha 7! Identificador b não declarado "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe11 10 "ERRO linha 8! Identificador b não declarado "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe12 10 "ERRO linha 8! Identificador b não declarado "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe13 10 "ERRO linha 8! Identificador b não declarado "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe14 10 "ERRO linha 8! Identificador b não declarado "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe15 10 "ERRO linha 12! Identificador b não declarado "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe16 11 "ERRO Linha 4! b já foi declarada "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe17 11 "ERRO Linha 4! b já foi declarada "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe18 11 "ERRO Linha 6! b já foi declarada "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe19 11 "ERRO Linha 6! b já foi declarada "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe20 11 "ERRO Linha 6! b já foi declarada "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe21 11 "ERRO Linha 5! b já foi declarada "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe22 11 "ERRO Linha 6! b já foi declarada "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe23 11 "ERRO Linha 2! a já foi declarada "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe24 11 "ERRO Linha 3! b já foi declarada "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe25 11 "ERRO Linha 1! f já foi declarada "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe26 11 "ERRO Linha 2! f já foi declarada "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe27 11 "ERRO Linha 3! f já foi declarada "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe28 11 "ERRO Linha 3! f já foi declarada "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe29 11 "ERRO Linha 3! f já foi declarada "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe30 0 "digraph grafo { "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe31 0 "digraph grafo { "
GrupoB |DEBUG GrupoB_tests/e4/2025_2/qwe32 0 "digraph grafo { "
